,tarea_id,creacion_tarea_grizzly,is_subtarea,parent_id,proyecto_id,duracion_total_planeada_tarea,duracion_real_total_tarea,id_registro_declaracion,fecha_registro_grizzly_empleado,fecha_tarea_empleado,duracion_parcial_tarea,fuente,empleado_id,creacion_proyecto_grizzly,team_id,duracion_total_planeada_projecto,duracion_real_total_projecto,creacion_team_grizzly,eliminacion_team_grizzly,fecha_subcripcion_empresa_grizzly,fecha_deshabilitacion_empresa_grizzly,estado,oferta,inicio_prueba_en,finalizacion_prueba_en,duracion_meses_team
1658004,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,755af0b8-7d19-4a2b-a602-c5dc469cb854,2021-11-22 16:56:10.732541+00:00,2021-11-22,8.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658005,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,0282f368-cd62-452d-a24c-7ddee42522f1,2021-11-24 16:01:22.198380+00:00,2021-11-23,4.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658006,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,c02efa69-365a-48aa-ad43-d35e032f415e,2021-11-24 16:01:41.974184+00:00,2021-11-24,8.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658007,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,c3fcc869-0d48-4dfc-b65a-10066b8df74f,2021-11-30 17:02:00.997623+00:00,2021-11-25,8.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658008,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,23eb1519-393a-4ec4-bc7f-9a4619cf70a8,2021-11-30 17:08:45.337394+00:00,2021-11-26,6.4,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658009,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,cc03c308-1dd3-4506-9a56-8fa43f7a80f2,2021-11-30 17:12:56.757970+00:00,2021-11-29,1.6,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658010,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,6529d63e-f8fa-4e3b-ac3f-688914976a98,2021-12-03 18:23:52.730754+00:00,2021-12-03,8.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658011,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,9d7c545e-e078-43de-8353-9258031b6a41,2021-12-06 17:56:31.247136+00:00,2021-12-06,8.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658013,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,506bc673-d84c-48b6-9da6-8a9cbea4fad2,2021-12-08 17:16:05.847639+00:00,2021-12-07,7.2,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658012,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,aea3f91f-333a-40a0-a8b1-fae716bb02d1,2021-12-08 17:16:49.566023+00:00,2021-12-08,6.4,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
